Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,Z_mm_smoothed,B_px,X_mm,X_mm_smoothed,Y_mm,Y_mm_smoothed
17,4,379,305,387,313,40.99582705929062,141.76741515595182,41.291571842869544,153.05554547287727,0.5729,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.2579,0.0383,2.3029,2.2783,147.1954,2.7814,2.7789,-2.4306,-2.4356
17,11,388,202,397,201,355.072890052351,116.43023662262307,354.97092641821456,125.4830665866913,0.939,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.1616,0.0374,2.2494,2.5153,120.7873,3.0196,3.0060,0.2631,0.2680
18,7,325,420,332,446,75.7047943202544,214.64622055838765,75.6186054089094,241.56986567036876,0.7665,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.5629,0.059,3.5839,3.4329,227.3136,1.4129,1.4083,-5.5265,-5.4979
18,4,379,306,387,313,41.299456944821664,142.42541907960108,41.291571842869544,153.05554547287727,0.7551,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.0008,0.036,2.16,2.3070,147.5493,2.7818,2.7763,-2.4435,-2.4456
18,11,386,201,397,200,354.4885225839794,114.5294721894762,354.5164095555356,125.57467897629681,0.8011,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.1157,0.046,2.7797,2.6361,119.798,2.9924,2.9905,0.288,0.2855
19,7,324,419,331,445,75.89864771974324,213.43148783626094,75.79030868800554,240.35390573069537,0.7498,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.5978,0.0593,3.6033,3.6150,226.0941,1.3878,1.3853,-5.5013,-5.4760
19,4,378,306,387,314,41.56636963754948,141.6756859873987,41.57163144114504,153.7172729396407,0.8098,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.5333,0.0408,2.456,2.3662,147.451,2.7683,2.7736,-2.4551,-2.4479
19,11,385,201,396,200,354.44005273669046,113.53413583587978,354.4724598483438,124.57929201917949,0.8677,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.1585,0.0464,2.8034,2.8595,118.8005,2.9673,2.9744,0.288,0.3080
20,6,134,450,115,479,120.1065270411584,275.1145216087293,120.45616600654431,309.7385994673573,0.382,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.5836,0.0592,3.5954,3.5997,291.4017,-3.6884,-3.7715,-6.3141,-6.1073
20,7,322,416,329,444,76.22840028291759,210.03809178337153,76.19642846937674,238.89956048515452,0.7988,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,7.1494,0.0643,3.9098,3.8451,223.5411,1.337,1.3547,-5.4479,-5.4361
20,4,378,306,387,314,41.56636963754948,141.6756859873987,41.57163144114504,153.7172729396407,0.8254,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.5333,0.0408,2.456,2.4234,147.451,2.7683,2.7709,-2.4551,-2.4552
