Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm,B_mm
44,3,500,147,517,142,343.27819837366275,243.28789530101986,343.3007557660064,261.00766272276377,0.842,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7639,0.0351,2.7604,251.8365,6.0524,1.8183,6.3196
45,2,199,365,193,378,114.67686317033706,162.87418457201866,114.68480437326792,177.19198627477485,0.8917,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9153,0.0421,3.3123,169.7317,-1.7782,-3.8703,4.2593
45,4,57,297,40,304,159.14554196042167,224.72205054244233,159.03017444753746,243.10080213771406,0.7596,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8541,0.0393,3.0891,233.5504,-5.4768,-2.0864,5.8607
45,3,503,140,520,134,341.9299875128086,248.2438317461282,341.8372381058151,266.2667835085706,0.787,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7615,0.035,2.7518,256.9396,6.1297,1.9999,6.4477
46,5,106,447,94,466,124.99202019855868,280.7507791618752,124.79076592393928,303.19960422137757,0.621,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8358,0.0384,3.0223,291.5437,-4.1955,-5.9935,7.3160
46,2,202,357,195,369,114.90476880809518,154.35349040433132,115.3461759419467,168.1903683330291,0.5422,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9326,0.0429,3.3754,160.9751,-1.7011,-3.6639,4.0395
46,4,59,288,42,294,161.15285843567565,219.78398485785993,161.10791370040863,237.81084920583416,0.8893,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8564,0.0394,3.0977,228.4423,-5.4252,-1.8519,5.7326
46,3,505,131,523,125,340.13295499291337,253.06125740618614,340.23283132320836,272.02941017470886,0.7509,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7853,0.0361,2.8385,262.2027,6.1881,2.2361,6.5797
47,2,203,351,197,362,115.52969799053305,148.49915824677257,115.76932762433871,161.01242188104618,0.822,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8789,0.0404,3.1796,154.5028,-1.6710,-3.4986,3.8771
47,4,60,282,43,288,162.56720750091566,216.96543503516867,162.41324435830185,234.98297810692586,0.7619,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8667,0.0399,3.1351,225.6151,-5.4016,-1.6961,5.6616
47,3,506,126,524,119,339.1555116452894,255.7381473304286,339.1270026374922,275.0509043795348,0.8726,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.791,0.0364,2.8592,265.0432,6.2157,2.3667,6.6510
48,5,110,430,98,447,126.39352648021114,264.60914572251653,126.30779871180249,285.41373477812874,0.7233,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8223,0.0378,2.9733,274.6180,-4.0888,-5.5472,6.8913
48,2,205,340,199,350,116.75107578158553,137.7425134081704,117.07967008819517,149.37536610833797,0.6986,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8808,0.0405,3.1865,143.3233,-1.6189,-3.2116,3.5966
48,4,63,271,46,275,165.17352002964432,211.02606474082768,165.29472794387,228.4841351166422,0.8039,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8635,0.0397,3.1236,219.4084,-5.3225,-1.4089,5.5059
48,3,508,114,527,106,336.85882006785266,262.0877715575452,336.8812456346543,282.70302439132126,0.8377,4,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8227,0.0378,2.9746,272.0054,6.2765,2.6825,6.8257
49,2,206,335,201,345,117.336664855814,132.83448347473634,117.27676338311369,144.01388821915754,0.9013,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8779,0.0404,3.1758,138.1985,-1.5926,-3.0807,3.4680
49,4,64,266,48,270,166.4295656148385,208.83007446246816,166.39547113536793,225.32199182503248,0.926,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8258,0.038,2.9861,216.7628,-5.2876,-1.2763,5.4395
49,3,510,109,529,101,336.0375110254218,265.9191606484948,336.118723982391,286.53097563788805,0.7853,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8111,0.0373,2.9325,275.8406,6.3254,2.8113,6.9220
50,5,113,423,101,440,126.78079075110094,257.2003110418026,126.6637986084599,278.0017985553331,0.7389,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.845,0.0389,3.0558,267.1968,-4.0147,-5.3703,6.7051
50,2,208,332,203,342,117.1597956922965,129.25169244539896,117.11244642795575,140.4314779527724,0.9397,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9012,0.0415,3.2610,134.6099,-1.5419,-3.0055,3.3779
50,3,512,106,530,98,335.6265630664545,268.972117514065,335.6546043761199,288.6693610343848,0.8827,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7679,0.0353,2.7750,278.4729,6.3652,2.8838,6.9880
51,5,115,419,103,435,126.96055544916335,252.80031645549812,126.95390899254761,272.80029325497435,0.8577,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8272,0.0381,2.9913,262.4198,-3.9594,-5.2619,6.5852
51,2,210,328,205,338,117.18111108547723,124.77980605851253,117.13045170034678,135.95955280891445,0.8897,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.9321,0.0429,3.3736,130.1300,-1.4917,-2.9049,3.2655
51,3,514,103,533,94,335.22485943116806,272.03860020225073,335.1838948674762,293.0614270080592,0.8599,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8088,0.0372,2.9239,282.1590,6.4288,2.9672,7.0805
52,5,117,415,106,431,127.14668669802178,248.4028985338134,126.95547753666443,267.8002987302292,0.6201,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8169,0.0376,2.9537,257.7371,-3.9056,-5.1553,6.4677
52,2,213,324,208,333,116.77884040695511,119.85407794480753,116.95883040316482,130.14222988715076,0.8145,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8947,0.0412,3.2370,124.7865,-1.4108,-2.7956,3.1314
52,3,517,99,535,90,334.732689499661,276.4489102890442,334.6446346788999,296.56871041969345,0.7538,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7633,0.0351,2.7583,286.1556,6.4938,3.0651,7.1808
53,5,120,412,108,428,127.01067323360311,244.20073709962466,127.00001652778104,264.20068130116545,0.833,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8552,0.0393,3.0933,253.8073,-3.8339,-5.0858,6.3691
53,2,215,322,210,330,116.346366057655,117.17081547894082,116.76750891929619,126.56223765404908,0.6196,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8377,0.0385,3.0293,121.6856,-1.3552,-2.7364,3.0536
53,3,519,96,538,86,334.3516030793073,279.54427198567316,334.20111714279676,301.0016611249845,0.695,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8035,0.037,2.9048,289.8764,6.5574,3.1486,7.2742
54,5,122,409,110,424,127.06040660133849,240.6013300046365,127.17864789562506,259.8037721050255,0.709,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8342,0.0384,3.0168,249.8341,-3.7783,-5.0030,6.2694
54,2,217,319,212,327,116.1139126302907,113.59577456930342,116.56505117707799,122.98373876248843,0.6164,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8627,0.0397,3.1205,118.1035,-1.3045,-2.6612,2.9637
54,3,521,93,540,83,333.9788797557134,282.65172916506276,333.8562337270906,304.11346566701053,0.7173,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.7952,0.0366,2.8744,292.9901,6.6070,3.2255,7.3523
55,5,123,406,112,421,127.30394827798344,237.60681808399355,127.22771206992545,256.20499604808646,0.7651,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8188,0.0377,2.9604,246.5557,-3.7496,-4.9214,6.1871
55,2,219,316,214,324,115.86635679409451,110.02272492535349,116.35046124594861,119.40686747419514,0.6602,3,27,1,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,0.8892,0.0409,3.2171,114.5229,-1.2538,-2.5859,2.8738
