Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,Radius_A_px,Angle_B_deg,Radius_B_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
52,4,117,415,106,431,127.36342778451117,255.4094751570505,127.1617950160806,274.8035662068453,0.5982,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
52,2,213,324,208,333,117.77962072502172,126.58988901172162,117.8755103865275,136.88316185711082,0.6266,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
52,3,71,255,54,259,167.92471141680647,205.54804791094466,167.8334662245343,223.00896842952304,0.5218,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
53,4,120,412,108,428,127.23483398157467,251.20509548972132,127.20792192178156,271.20471972294285,0.5241,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
53,2,215,322,210,330,117.39236955189276,123.89108119634763,117.71850162818338,133.29666162361306,0.5626,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
53,3,73,252,57,255,168.63470930213018,202.98029461009264,168.6900675259798,219.25783908448975,0.6981,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
53,1,519,96,538,86,334.84357755826045,272.88275870783775,334.6538240580533,294.3331445828009,0.6262,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
54,2,217,319,212,327,117.20401107606962,120.30793822520607,117.5528115767178,129.71121771072848,0.5618,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
54,3,75,249,59,252,169.36278549070994,200.44450603596,169.3641044239643,216.72332592501436,0.7,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
54,1,521,93,540,83,334.4563212914991,275.9746365157494,334.29647455748926,297.4306641891518,0.6272,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
55,4,126,404,112,421,127.2499635770807,241.20530674095875,127.43587097940929,263.2128416320146,0.3522,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
55,2,219,316,214,324,117.00409070275965,116.72617529928752,117.37770277133174,126.1269202034205,0.5609,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
55,3,77,246,61,249,170.10939505824197,197.9419106707824,170.0539950575827,214.21951358361358,0.6981,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
55,1,523,91,542,81,334.262599141282,278.6431409527247,334.11802560329943,300.1016494456503,0.5718,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
56,4,124,404,113,419,127.6262336386698,242.42112119202815,127.52844082340764,261.01724080987447,0.5799,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
56,2,220,314,216,322,117.01266534793854,114.49017425089369,116.98023071822286,123.43419299367578,0.6989,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
56,3,78,244,63,247,170.6334900429879,196.6214637317096,170.49322801073433,211.91035840656775,0.6076,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
56,1,524,88,544,79,333.79988515865267,280.8558349046713,333.9427267797484,302.77549438486597,0.5956,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
57,4,126,402,115,417,127.53943387383165,239.61636004246455,127.44683022497075,258.21309029559285,0.6093,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
57,2,221,312,217,320,117.02158159117704,112.25417586887359,116.98789058174849,121.19818480488888,0.6288,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
57,3,79,242,64,245,171.1646267865505,195.3176899310454,170.98494255145346,210.60151946270474,0.6937,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
