Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,B_px,X_mm,Y_mm
70,8,6.3393,1.4703,565,143,347.0053832080835,226.80828909014767,346.7485811350654,301.01494979485653,0.7495,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.6913,0.1406,8.6913,258.6953,6.3393,1.4703
71,8,6.3551,1.4152,566,146,347.607286523054,228.31995094603536,347.347443499442,301.3171087077533,0.7201,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.4861,0.1378,8.4861,259.7881,6.3551,1.4152
72,8,6.3590,1.3796,565,149,348.15002047351976,228.87769659798658,347.8651852882796,299.6965131595628,0.8237,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.2691,0.134,8.2691,259.5429,6.3590,1.3796
73,8,6.3835,1.3412,564,150,348.15002047351976,228.87769659798658,348.0124880565395,298.50963133540597,0.7731,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,8.0980,0.132,8.0980,259.0968,6.3835,1.3412
74,8,6.3945,1.3100,564,152,348.44542435212054,229.65408770583642,348.3885135761115,298.10065414218735,0.8615,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,7.9680,0.1297,7.9680,259.4388,6.3945,1.3100
75,8,6.3991,1.2956,566,153,348.8351198224514,232.39836488237177,348.65259481744886,299.8616347584332,0.7804,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,7.8902,0.1267,7.8902,261.8546,6.3991,1.2956
76,8,6.4036,1.2763,565,154,349.03024203319944,231.22499864850255,348.80292840334454,298.6854532781936,0.8108,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,7.8136,0.1273,7.8136,260.6612,6.4036,1.2763
77,8,6.3858,1.2693,564,153,348.7388298797498,230.43654224102565,348.5769094515531,297.90099026354375,0.8202,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,7.7416,0.1277,7.7416,259.8614,6.3858,1.2693
78,8,6.3476,1.2671,563,155,348.9828883812108,230.24334952393303,348.91743053697036,296.5299310356376,0.877,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,7.6913,0.1258,7.6913,259.2161,6.3476,1.2671
79,8,6.2933,1.2775,558,154,348.5912817971182,227.49505489130968,348.53604698430746,291.82186347153635,0.8032,1,83,1,4,5000,100,123.0,10.0,15.0,0.35,0.35,0.3,0.1,7.5923,0.1239,7.5923,255.6744,6.2933,1.2775
