Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Z_mm,B_px,X_mm,Y_mm
32,2,314,441,321,477,79.60710783870456,232.81967270830015,79.5240083331057,269.4921149124775,0.6234,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6759,249.8172,1.1357,-6.1652
32,3,134,398,120,417,126.57303097851934,231.60310878742538,126.55558225928011,255.2038400965001,0.8159,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.7895,242.8314,-3.6301,-4.8944
33,1,27,454,1,479,135.35294694938412,344.3675362167578,135.42598307664318,380.4339627320358,0.6715,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8879,361.5034,-6.4582,-6.3706
33,2,313,441,320,477,79.8493517197326,232.6413548791358,79.73321116729291,269.3120866207085,0.6026,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6797,249.6372,1.1107,-6.1652
33,3,132,399,119,417,126.82084305208247,233.60008561642266,126.73550591534143,255.80070367377803,0.7486,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.5497,244.1969,-3.6687,-4.9083
34,3,119,402,102,421,128.84321281177083,243.9446658568291,129.12480726970492,269.40861159213154,0.5553,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.8758,256.0451,-4.0427,-4.994
35,3,99,405,81,425,131.87219387871383,259.18719104153274,131.8830114008798,286.09439001839934,0.832,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.856,271.9769,-4.556,-5.0817
36,3,81,406,62,425,134.5535484162284,272.2443755158222,134.59365376669098,299.11369075988483,0.7628,1,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.6777,285.0472,-5.0202,-5.0954
37,6,253,446,252,463,94.64203781350754,234.7701003109212,94.55577532875361,251.79555198613022,0.5559,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,2.752,242.985,-0.4887,-6.0779
37,3,68,406,48,425,136.43928962788243,281.5173174069403,136.4419233716813,309.1035425225664,0.7944,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.6531,294.6662,-5.3584,-5.0955
37,7,30,262,9,267,168.32628968711523,247.1113109511582,168.18821951757045,268.68941177500835,0.7309,3,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.2783,257.449,-6.3252,-1.3151
38,3,64,406,42,427,136.99456930124182,284.42925306655786,136.93058744116698,314.8412298286233,0.807,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9639,298.8636,-5.4815,-5.1185
38,8,81,393,51,422,136.5398382886236,263.1387466717891,136.46198789878022,304.8622639816217,0.7919,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7105,282.4681,-5.1415,-4.8794
39,3,64,406,42,427,136.99456930124182,284.42925306655786,136.93058744116698,314.8412298286233,0.807,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,3.9639,298.8636,-5.4815,-5.1185
39,8,81,393,51,422,136.5398382886236,263.1387466717891,136.46198789878022,304.8622639816217,0.7919,2,25,1,3,5000,100,120.0,10.0,15.0,0.35,0.35,0.3,0.1,5.7105,282.4681,-5.1415,-4.8794
